time,open,high,low,close
727972200,43.9688,43.96899,43.75,43.938
728577000,43.96875,45.09375,43.96875,44.96875
729181800,44.96875,45.125,44.53125,44.59375
729786600,44.46875,44.46875,42.8125,43.5625
730391400,43.6875,44.4375,43.46875,44.40625
730996200,44.5625,45.1875,44.21875,44.75
731601000,44.84375,45.84375,44.8125,45.09375
732205800,45.0625,45.5,44.96875,45.03125
732810600,44.59375,45.25,44.5625,44.90625
733415400,44.9375,45.46875,44.09375,44.09375
734016600,44.4375,44.53125,44.0625,44.28125
734621400,44.71875,45.15625,44.65625,44.9375
735226200,44.9375,45.0625,43.6875,43.75
735831000,43.78125,44.28125,43.28125,44.03125
736435800,44.09375,44.75,43.90625,44.34375
737040600,44.40625,44.6875,43.96875,44
737645400,44.125,45.25,43.84375,44.75
738250200,44.84375,45.65625,44.84375,45.21875
738855000,45.375,45.8125,45.09375,45.28125
739459800,45.375,45.375,44.71875,45.09375
740064600,45.15625,45.1875,44.5,44.5
740669400,44.625,44.90625,44.21875,44.78125
741274200,45,45.28125,44.53125,44.6875
741879000,44.625,44.96875,44.15625,44.96875
742483800,44.90625,45.1875,44.65625,44.75
743088600,44.75,44.84375,44.46875,44.71875
743693400,44.84375,45.21875,44.78125,44.84375
744298200,44.90625,45.1875,44.84375,44.96875
744903000,45.09375,45.34375,44.90625,45.125
745507800,45.15625,45.875,45.15625,45.8125
746112600,45.625,46.53125,45.625,46.25
746717400,46.28125,46.59375,46.25,46.375
747322200,46.375,46.4375,45.59375,46.40625
747927000,46.5625,46.5625,45.75,45.8125
748531800,45.875,45.96875,44.8125,45.78125
749136600,46.125,46.3125,45.8125,46.15625
749741400,46.21875,46.375,45.71875,46.0625
750346200,46.15625,47.15625,46.15625,47.0625
750951000,47.03125,47.03125,46.375,46.375
751555800,46.40625,46.96875,46.28125,46.84375
752164200,46.78125,47,45.53125,46.0625
752769000,46.09375,46.75,45.96875,46.59375
753373800,46.6875,46.8125,46.21875,46.3125
753978600,46.1875,46.59375,45.875,46.5
754583400,46.625,46.71875,46.25,46.71875
755188200,46.78125,46.9375,46.5,46.59375
755793000,46.59375,46.90625,46.375,46.5625
756397800,46.53125,46.84375,46.40625,46.75
757002600,46.75,47.15625,46.5625,46.59375
757607400,46.59375,47.0625,46.40625,47.03125
758212200,47.09375,47.59375,46.96875,47.40625
758817000,47.40625,47.53125,47.25,47.375
759421800,47.34375,48.03125,47.09375,47.875
760026600,48.0625,48.3125,46.96875,46.96875
760631400,46.84375,47.4375,46.8125,47.15625
761236200,47.0625,47.6875,46.75,46.875
761841000,47,47.4375,46.5625,46.8125
762445800,46.9375,47.0625,45.9375,46.6875
763050600,46.875,47,46.4375,46.84375
763655400,47.03125,47.3125,46.71875,46.96875
764260200,46.8125,47.0625,45.9375,45.9375
764865000,46,46.0625,43.53125,44.59375
765466200,43.34375,45.125,43.34375,44.6875
766071000,44.8125,45.0625,44.25,44.59375
766675800,44.64062,45.04687,43.98437,44.85937
767280600,44.84375,45.35937,44.8125,45.09375
767885400,45.09375,45.71875,44.59375,44.75
768490200,44.625,44.84375,44.17187,44.51562
769095000,44.60937,45.85937,44.5,45.5625
769699800,45.51562,45.9375,45.34375,45.875
770304600,45.73437,46.39062,45.5625,46.23437
770909400,46.32812,46.46875,45.78125,46.10937
771514200,46.04687,46.5625,45.8125,45.875
772119000,45.54687,45.625,44,44.0625
772723800,44.23437,45.01562,44.01562,44.5625
773328600,44.65625,44.98437,44.46875,44.90625
773933400,44.9375,45.48437,44.51562,45.39062
774538200,45.39062,45.57812,45.0625,45.34375
775143000,45.35937,46.04687,45.17187,45.90625
775747800,45.9375,46.375,45.65625,45.78125
776352600,45.82812,46.34375,45.71875,46.32812
776957400,46.375,46.73437,46.15625,46.42187
777562200,46.4375,47.78125,46.28125,47.6875
778167000,47.8125,47.98437,47.21875,47.29687
778771800,47.26562,47.5625,46.8125,47
779376600,47,47.64062,46.78125,47.01562
779981400,47.125,47.32812,45.73437,45.90625
780586200,46.07812,46.53125,45.98437,46.17187
781191000,46.20312,46.29687,45,45.45312
781795800,45.65625,47.32812,45.64062,47.04687
782400600,47,47.23437,46.35937,46.5625
783005400,46.57812,47.70312,46,47.65625
783613800,47.54687,47.59375,46.32812,46.32812
784218600,46.3125,47.32812,46.28125,46.40625
784823400,46.60937,47.09375,46.26562,46.46875
785428200,46.4375,46.57812,44.60937,45.46875
786033000,45.45312,45.95312,45.04687,45.5625
786637800,45.65625,45.8125,44.6875,45.04687
787242600,44.95312,46.03125,44.95312,45.75
787847400,45.75,46.26562,45.60937,46.0625
788452200,46.21875,46.40625,45.5625,45.5625
789057000,45.70312,46.25,45.6875,46.04687
789661800,46.03125,46.73437,45.8125,46.73437
790266600,46.71875,47.07812,46.45312,46.54687
790871400,46.23437,47.23437,46.20312,47.10937
791476200,47.01562,48.10937,46.84375,48.03125
792081000,48.01562,48.46875,47.96875,48.35937
792685800,48.32812,48.76562,48.25,48.45312
793290600,48.45312,49.15625,48.42187,49
793895400,48.85937,49.03125,48.48437,48.78125
794500200,48.45312,49.39062,48.21875,49.26562
795105000,49.23437,49.8125,49.17187,49.5625
795709800,49.625,50.21875,49.32812,50.21875
796314600,50.29687,50.89062,49.54687,50.10937
796915800,50.09375,50.85937,50.0625,50.70312
797520600,50.625,51.09375,50.59375,51.07812
798125400,51.26562,51.3125,50.29687,50.89062
798730200,50.85937,51.67187,50.85937,51.59375
799335000,51.54687,52.6875,51.39062,52.1875
799939800,52.14062,52.875,52.09375,52.75
800544600,52.89062,53.15625,51.90625,52.09375
801149400,52.26562,53.42187,52.23437,52.5625
801754200,52.6875,53.92187,52.375,53.54687
802359000,53.54687,54.04687,52.75,53.0625
802963800,53.23437,54.23437,53.20312,53.96875
803568600,54.125,55.15625,54.09375,55.01562
804173400,54.85937,54.95312,54.0625,54.40625
804778200,54.46875,55.78125,54.46875,55.76562
805383000,55.8125,56.3125,55.45312,56.04687
805987800,56.125,56.42187,54.20312,55.40625
806592600,55.48437,56.70312,55.48437,56.29687
807197400,56.34375,56.79687,55.45312,55.98437
807802200,56.10937,56.3125,55.42187,55.65625
808407000,55.79687,56.40625,55.65625,56.17187
809011800,56.40625,56.64062,55.75,56.29687
809616600,56.45312,56.75,55.76562,56.65625
810221400,56.82812,57.54687,56.73437,57.54687
810826200,57.64062,58.8125,57.57812,58.4375
811431000,58.23437,58.78125,57.78125,58.3125
812035800,58.375,58.90625,57.59375,58.48437
812640600,58.48437,58.625,57.95312,58.40625
813245400,58.1875,58.85937,57.26562,58.625
813850200,58.45312,59.1875,58.29687,58.82812
814455000,58.54687,58.89062,57.28125,58.1875
815063400,58.32812,59.25,58.23437,59.23437
815668200,59.21875,59.60937,58.625,59.53125
816273000,59.42187,60.20312,59.07812,60.1875
816877800,60.28125,60.375,59.85937,60.32812
817482600,60.45312,61.20312,60.15625,60.98437
818087400,61.125,62.53125,61.04687,62.15625
818692200,62.28125,62.79687,61.59375,61.8125
819297000,61.26562,61.51562,60.57812,61.20312
819901800,61.45312,61.65625,61.25,61.48437
820506600,61.40625,62.625,61.17187,61.59375
821111400,61.8125,62.0625,59.64062,60.23437
821716200,60.25,61.42187,59.85937,61.26562
822321000,61.21875,62.26562,61.10937,62.23437
822925800,62.1875,64.01562,62.14062,63.64062
823530600,63.53125,66.375,63.4375,65.82812
824135400,65.95312,66.6875,64.73437,64.9375
824740200,64.4375,66.60937,63.875,65.9375
825345000,65.75,65.89062,63.60937,64.89062
825949800,65.03125,65.96875,62,63.5
826554600,63.25,64.8125,62.90625,64.125
827159400,64.71875,66,64.57812,65.15625
827764200,65.75,65.8125,64.375,64.6875
828369000,65,65.71875,64.79687,65.51562
828970200,63.875,64.64062,62.125,63.71875
829575000,64.04687,64.85937,63.84375,64.53125
830179800,65.125,65.8125,64.59375,65.4375
830784600,65.15625,65.79687,63.75,64.3125
831389400,64.5625,65.59375,63.07812,65.375
831994200,65.53125,67.3125,65.46875,67.1875
832599000,67.65625,68.4375,66.98437,68.17187
833203800,68.375,68.375,66.75,66.875
833808600,66.89062,68.5,66.1875,67.625
834413400,67.53125,68.03125,66.71875,66.9375
835018200,66.96875,67.21875,66.1875,66.8125
835623000,66.96875,67.5,66.15625,67.10937
836227800,67.28125,67.70312,65.375,65.57812
836832600,65.625,65.98437,63.875,64.5625
837437400,64.71875,64.71875,60.375,63.96875
838042200,63.53125,63.9375,61.625,63.71875
838647000,63.625,66.59375,62.9375,66.5625
839251800,66.57812,66.76562,65.79687,66.21875
839856600,66.25,66.875,66,66.84375
840461400,66.85937,67.34375,66.375,66.85937
841066200,66.70312,67,65.125,65.32812
841671000,64.46875,66.75,64.375,65.9375
842275800,66.1875,68.625,66.07812,68.5625
842880600,68.65625,69.15625,68.21875,68.64062
843485400,68.46875,69.25,68.15625,68.6875
844090200,68.78125,70.34375,68.4375,70.34375
844695000,70.3125,70.6875,69.375,70.3125
845299800,70.3125,71.3125,69.9375,71.21875
845904600,71.28125,71.625,70.125,70.3125
846513000,70.375,71.15625,69.70312,70.59375
847117800,70.6875,73.4375,70.53125,73.42187
847722600,73.25,74.5,73.01562,74.03125
848327400,74.17187,75.25,73.73437,75.17187
848932200,75.25,76.6875,75.07812,76.01562
849537000,75.92187,76.57812,72.65625,74.3125
850141800,74.6875,75.67187,72.40625,73.3125
850746600,73.5,75.71875,71.875,74.84375
851351400,75.09375,76.03125,74.32812,75.875
851956200,76.125,76.125,72.75,75.09375
852561000,75.09375,76.25,74.125,76.125
853165800,76.5,77.75,75.64062,77.5625
853770600,77.75,79.6875,76.75,76.75
854375400,76.875,79.40625,76,78.40625
854980200,78.71875,79.46875,77.125,79.21875
855585000,79.25,81.5625,78.125,81.1875
856189800,81.34375,82,80.14062,80.375
856794600,79.96875,81.53125,79.0625,79.15625
857399400,78.75,81.15625,78.6875,80.84375
